x, fx
9.744,	-5.72858e-06
9.768,	-4.31783e-06
9.792,	-8.86502e-07
9.816,	1.1727e-06
9.84,	1.34452e-06
9.864,	5.76948e-07
9.888,	-1.11883e-07
9.912,	-3.23873e-07
9.936,	-1.94876e-07
9.96,	-9.44614e-09
9.984,	7.2765e-08
10.008,	5.51255e-08
10.032,	8.85469e-09
10.056,	-1.60185e-08
10.08,	-1.42011e-08
10.104,	-2.99015e-09
10.128,	3.6348e-09
10.152,	3.46157e-09
10.176,	7.48133e-10
10.2,	-8.70365e-10
10.224,	-8.07694e-10
10.248,	-1.4769e-10
10.272,	2.17753e-10
10.296,	1.79499e-10
10.32,	2.00892e-11
10.344,	-5.50304e-11
10.368,	-3.72799e-11
10.392,	6.68545e-14
10.416,	1.35097e-11
10.44,	6.97905e-12
10.464,	-1.26132e-12
10.488,	-3.10975e-12
10.512,	-1.09333e-12
10.536,	5.57605e-13
10.56,	6.48434e-13
10.584,	1.13118e-13
10.608,	-1.70714e-13
10.632,	-1.16971e-13
10.656,	5.32751e-15
10.68,	4.19774e-14
10.704,	1.65987e-14
10.728,	-6.89218e-15
10.752,	-8.46038e-15
10.776,	-1.26301e-15
10.8,	2.2662e-15
10.824,	1.33652e-15
10.848,	-2.02779e-16
10.872,	-5.13749e-16
10.896,	-1.34773e-16
10.92,	1.13202e-16
10.944,	8.59234e-17
10.968,	-3.92001e-18
10.992,	-2.86252e-17
11.016,	-9.14782e-18
11.04,	5.69776e-18
11.064,	4.86067e-18
11.088,	-7.92397e-20
11.112,	-1.52852e-18
11.136,	-4.91858e-19
11.16,	3.04009e-19
11.184,	2.49632e-19
11.208,	-1.14053e-20
11.232,	-7.90032e-20
11.256,	-2.14239e-20
11.28,	1.69963e-20
11.304,	1.15796e-20
11.328,	-1.55116e-21
11.352,	-3.88118e-21
11.376,	-6.80938e-22
11.4,	9.39971e-22
11.424,	4.66249e-22
11.448,	-1.42105e-22
11.472,	-1.74178e-22
11.496,	-6.58326e-24
11.52,	4.81968e-23
11.544,	1.46569e-23
11.568,	-9.88608e-24
11.592,	-6.7006e-24
11.616,	1.09026e-24
11.64,	2.15719e-24
11.664,	2.26484e-25
11.688,	-5.46953e-25
11.712,	-1.93944e-25
11.736,	1.05706e-25
11.76,	7.80894e-26
11.784,	-1.11633e-26
11.808,	-2.39042e-26
11.832,	-2.27171e-27
11.856,	6.00009e-27
11.88,	1.91989e-27
11.904,	-1.25509e-27
11.928,	-6.58989e-28
11.952,	0
11.976,	0
12,	0
